"Token","Rating","TokenCount","RatingWideCount"
"totally untrue",8,5,48706843
"totally untrue",9,2,40264174
"totally untrue",10,6,73929298
"utterly inflexible",1,0,25389211
"utterly inflexible",2,0,11750820
"utterly inflexible",3,0,13990519
"utterly inflexible",4,0,14958477
"utterly inflexible",5,0,20382805
"utterly inflexible",6,0,27408662
"utterly inflexible",7,0,40176069
"utterly inflexible",8,0,48706843
"utterly inflexible",9,0,40264174
"utterly inflexible",10,0,73929298
"very comfortable",1,13,25389211
"very comfortable",2,9,11750820
"very comfortable",3,9,13990519
"very comfortable",4,7,14958477
"very comfortable",5,17,20382805
"very comfortable",6,33,27408662
"very comfortable",7,68,40176069
"very comfortable",8,65,48706843
"very comfortable",9,54,40264174
"very comfortable",10,100,73929298
"very different",1,169,25389211
"very different",2,122,11750820
"very different",3,129,13990519
"very different",4,190,14958477
"very different",5,326,20382805
"very different",6,618,27408662
"very different",7,1278,40176069
"very different",8,1914,48706843
"very different",9,1595,40264174
"very different",10,2393,73929298
"very excited",1,156,25389211
"very excited",2,80,11750820
"very excited",3,108,13990519
"very excited",4,91,14958477
"very excited",5,121,20382805
"very excited",6,131,27408662
"very excited",7,140,40176069
"very excited",8,170,48706843
"very excited",9,137,40264174
"very excited",10,288,73929298
"very fair",1,10,25389211
"very fair",2,4,11750820
"very fair",3,6,13990519
"very fair",4,6,14958477
"very fair",5,9,20382805
"very fair",6,9,27408662
"very fair",7,15,40176069
"very fair",8,34,48706843
"very fair",9,15,40264174
"very fair",10,32,73929298
"very few",1,644,25389211
"very few",2,358,11750820
"very few",3,434,13990519
"very few",4,460,14958477
"very few",5,504,20382805
"very few",6,656,27408662
"very few",7,944,40176069
"very few",8,1381,48706843
"very few",9,1440,40264174
"very few",10,2982,73929298
"very hard",1,581,25389211
"very hard",2,331,11750820
"very hard",3,380,13990519
"very hard",4,399,14958477
"very hard",5,506,20382805
"very hard",6,583,27408662
"very hard",7,730,40176069
"very hard",8,867,48706843
"very hard",9,784,40264174
"very hard",10,1594,73929298
"very hopeful",1,4,25389211
"very hopeful",2,3,11750820
"very hopeful",3,6,13990519
"very hopeful",4,4,14958477
"very hopeful",5,4,20382805
"very hopeful",6,4,27408662
"very hopeful",7,8,40176069
"very hopeful",8,16,48706843
"very hopeful",9,11,40264174
"very hopeful",10,20,73929298
"very nervous",1,15,25389211
"very nervous",2,5,11750820
"very nervous",3,10,13990519
"very nervous",4,8,14958477
"very nervous",5,7,20382805
"very nervous",6,17,27408662
"very nervous",7,27,40176069
"very nervous",8,32,48706843
"very nervous",9,24,40264174
"very nervous",10,53,73929298
"very nice",1,223,25389211
"very nice",2,137,11750820
"very nice",3,232,13990519
"very nice",4,241,14958477
"very nice",5,371,20382805
"very nice",6,687,27408662
"very nice",7,1199,40176069
"very nice",8,1402,48706843
"very nice",9,920,40264174
"very nice",10,1361,73929298
"very open",1,58,25389211
"very open",2,16,11750820
"very open",3,19,13990519
"very open",4,16,14958477
"very open",5,17,20382805
"very open",6,26,27408662
"very open",7,58,40176069
"very open",8,58,48706843
"very open",9,67,40264174
"very open",10,110,73929298
"very optimistic",1,5,25389211
"very optimistic",2,3,11750820
"very optimistic",3,4,13990519
"very optimistic",4,3,14958477
"very optimistic",5,6,20382805
"very optimistic",6,2,27408662
"very optimistic",7,7,40176069
"very optimistic",8,9,48706843
"very optimistic",9,19,40264174
"very optimistic",10,24,73929298
"very positive",1,35,25389211
"very positive",2,15,11750820
"very positive",3,31,13990519
"very positive",4,23,14958477
"very positive",5,50,20382805
"very positive",6,47,27408662
"very positive",7,87,40176069
"very positive",8,124,48706843
"very positive",9,145,40264174
"very positive",10,227,73929298
"very possible",1,16,25389211
"very possible",2,8,11750820
"very possible",3,10,13990519
"very possible",4,4,14958477
"very possible",5,11,20382805
"very possible",6,24,27408662
"very possible",7,26,40176069
"very possible",8,27,48706843
"very possible",9,39,40264174
"very possible",10,66,73929298
"very significant",1,5,25389211
"very significant",2,4,11750820
"very significant",3,3,13990519
"very significant",4,11,14958477
"very significant",5,6,20382805
"very significant",6,15,27408662
"very significant",7,31,40176069
"very significant",8,42,48706843
"very significant",9,37,40264174
"very significant",10,78,73929298
"very similar",1,183,25389211
"very similar",2,111,11750820
"very similar",3,183,13990519
"very similar",4,239,14958477
"very similar",5,328,20382805
"very similar",6,476,27408662
"very similar",7,778,40176069
"very similar",8,877,48706843
"very similar",9,637,40264174
"very similar",10,959,73929298
"very unusual",1,8,25389211
"very unusual",2,9,11750820
